省,年份,家谱数量
广东,1944,3
广东,1945,3
广东,1946,9
广东,1947,16
广东,1948,11
广东,1949,14
广东,1950,6
广东,1951,1
广东,1952,3
广东,1953,4
广东,1954,3
广东,1955,4
广东,1956,1
广东,1957,2
广东,1959,4
广东,1960,2
广东,1961,3
广东,1962,4
广东,1963,7
广东,1964,3
广东,1965,5
广东,1966,8
广东,1967,6
广东,1968,4
广东,1969,4
广东,1970,5
广东,1971,8
广东,1972,3
广东,1973,6
广东,1974,5
广东,1975,9
广东,1976,9
广东,1977,5
广东,1978,1
广东,1979,7
广东,1980,8
广东,1981,15
广东,1982,12
广东,1983,16
广东,1984,9
广东,1985,27
广东,1986,40
广东,1987,24
广东,1988,28
广东,1989,36
广东,1990,44
广东,1991,48
广东,1992,44
广东,1993,74
广东,1994,74
广东,1995,92
广东,1996,100
广东,1997,149
广东,1998,124
广东,1999,131
广东,2000,109
广东,2001,100
广东,2002,83
广东,2003,83
广东,2004,71
广东,2005,69
广东,2006,79
广东,2007,60
广东,2008,66
广东,2009,66
广东,2010,54
广东,2011,58
广东,2012,75
广东,2013,60
广东,2014,66
广东,2015,49
广东,2016,51
广东,2017,46
广东,2018,39
广东,2019,27
广东,2020,23
广东,2021,14
广东,2022,12
广东,2023,9
广西,1788,1
广西,1804,1
广西,1827,1
广西,1832,1
广西,1835,1
广西,1870,1
广西,1879,1
广西,1887,1
广西,1890,1
广西,1891,1
广西,1901,1
广西,1907,2
广西,1912,1
广西,1913,1
广西,1915,1
广西,1921,2
广西,1922,1
广西,1925,1
广西,1926,2
广西,1931,2
广西,1933,2
广西,1934,4
广西,1935,3
广西,1936,2
广西,1937,2
广西,1942,1
广西,1945,1
广西,1947,1
广西,1949,1
广西,1965,1
广西,1979,1
广西,1985,1
广西,1986,1
广西,1988,1
广西,1989,2
广西,1990,1
广西,1992,2
广西,1994,1
广西,1995,2
广西,1996,1
广西,1998,4
广西,1999,8
广西,2000,2
广西,2001,3
广西,2002,2
广西壮族自治区,1936,1
广西壮族自治区,1949,1
广西壮族自治区,1964,1
广西壮族自治区,1981,2
广西壮族自治区,1984,2
广西壮族自治区,1985,2
广西壮族自治区,1986,1
广西壮族自治区,1987,4
广西壮族自治区,1988,4
广西壮族自治区,1989,5
广西壮族自治区,1990,7
广西壮族自治区,1991,8
广西壮族自治区,1992,7
广西壮族自治区,1993,6
广西壮族自治区,1994,8
广西壮族自治区,1995,11
广西壮族自治区,1996,10
广西壮族自治区,1997,6
广西壮族自治区,1998,11
广西壮族自治区,1999,17
广西壮族自治区,2000,18
广西壮族自治区,2001,10
广西壮族自治区,2002,9
广西壮族自治区,2003,15
广西壮族自治区,2004,16
广西壮族自治区,2005,9
广西壮族自治区,2006,20
广西壮族自治区,2007,20
广西壮族自治区,2008,5
广西壮族自治区,2009,11
广西壮族自治区,2010,14
广西壮族自治区,2011,10
广西壮族自治区,2012,19
广西壮族自治区,2013,27
广西壮族自治区,2014,17
广西壮族自治区,2015,25
广西壮族自治区,2016,20
广西壮族自治区,2017,34
广西壮族自治区,2018,39
广西壮族自治区,2019,26
广西壮族自治区,2020,20
广西壮族自治区,2021,8
广西壮族自治区,2022,12
广西壮族自治区,2023,15
新疆维吾尔自治区,2007,1
新疆维吾尔自治区,2017,1
江苏,1407,1
江苏,1601,2
江苏,1611,1
江苏,1612,2
江苏,1627,1
江苏,1674,1
江苏,1676,1
江苏,1692,1
江苏,1703,1
江苏,1704,2
江苏,1708,1
江苏,1715,2
江苏,1717,1
江苏,1718,1
江苏,1724,1
江苏,1726,1
江苏,1728,1
江苏,1730,2
江苏,1734,1
江苏,1739,2
江苏,1741,1
江苏,1746,1
江苏,1749,1
江苏,1751,1
江苏,1758,1
江苏,1759,2
江苏,1760,1
江苏,1763,2
江苏,1766,1
江苏,1767,2
江苏,1768,1
江苏,1769,1
江苏,1775,1
江苏,1776,1
江苏,1777,2
江苏,1778,2
江苏,1780,2
江苏,1781,1
江苏,1782,1
江苏,1784,1
江苏,1787,1
江苏,1789,1
江苏,1790,2
江苏,1792,3
江苏,1794,3
江苏,1795,1
江苏,1796,1
江苏,1798,3
江苏,1800,2
江苏,1801,1
江苏,1802,4
江苏,1803,2
江苏,1805,1
江苏,1806,2
江苏,1807,3
江苏,1808,2
江苏,1809,2
江苏,1810,1
江苏,1811,1
江苏,1812,1
江苏,1814,1
江苏,1815,1
江苏,1816,2
江苏,1817,1
江苏,1818,2
江苏,1819,1
江苏,1820,1
江苏,1821,2
江苏,1822,3
江苏,1823,2
江苏,1824,2
江苏,1825,2
江苏,1826,2
江苏,1827,6
江苏,1828,5
江苏,1829,2
江苏,1830,3
江苏,1831,2
江苏,1832,2
江苏,1833,2
江苏,1834,3
江苏,1836,3
江苏,1837,4
江苏,1839,5
江苏,1840,2
江苏,1841,3
江苏,1842,2
江苏,1843,2
江苏,1844,8
江苏,1845,6
江苏,1846,4
江苏,1847,5
江苏,1848,5
江苏,1849,7
江苏,1850,4
江苏,1851,8
江苏,1852,4
江苏,1853,3
江苏,1854,6
